t_s,Vxx_X_V,Vxx_Y_V,Vxx_R_V,Vxx_theta_deg,Vxy_X_V,Vxy_Y_V,Vxy_R_V,Vxy_theta_deg,VB_V
0.950218,0.00286676,5.48365e-05,0.00286771,1.098,-0.00624374,-0.000271799,0.00624946,-177.51,1.51019072
1.577109,0.00286867,6.10356e-05,0.00286914,1.224,-0.00672629,2.9564e-05,0.00672534,179.748,1.51271104
2.589905,0.00287248,6.19893e-05,0.00287344,1.236,-0.00582317,-0.000480654,0.00584224,-175.29,1.51671408
3.601596,0.00287773,6.19893e-05,0.0028782,1.236,-0.00361539,-0.000572208,0.00365831,-171.018,1.520748
4.610126,0.00288154,6.19893e-05,0.00288202,1.23,-0.00543311,-0.000318529,0.00544074,-176.652,1.52476048
5.620307,0.00288536,6.19893e-05,0.00288583,1.23,-0.00674728,3.81473e-06,0.00674632,179.964,1.52874032
6.717888,0.00288917,6.19893e-05,0.00289012,1.236,-0.0068579,3.62399e-05,0.00685695,179.694,1.5331248
8.029108,0.00289346,6.19893e-05,0.00289394,1.236,-0.00688174,1.71663e-05,0.00688079,179.856,1.53831696
8.917904,0.0028968,6.19893e-05,0.00289775,1.23,-0.00690272,3.14715e-05,0.00690177,179.736,1.54185488
11.748539,0.00290872,6.24661e-05,0.0029092,1.236,-0.00696567,4.38693e-05,0.00696471,179.634,1.55304608
12.758401,0.00291206,6.24661e-05,0.00291301,1.23,-0.00698569,4.57766e-05,0.00698474,179.622,1.55710768
13.767334,0.0029154,6.24661e-05,0.00291635,1.23,-0.00700763,4.57766e-05,0.00700668,179.622,1.56112208
14.776911,0.00291921,6.24661e-05,0.00291969,1.23,-0.00702766,4.67303e-05,0.0070267,179.616,1.56512272
15.790082,0.00292255,6.24661e-05,0.00292303,1.23,-0.00704864,4.76839e-05,0.00704768,179.61,1.56915792
16.797492,0.00292684,6.2943e-05,0.0029278,1.23,-0.00706771,4.76839e-05,0.00706676,179.61,1.57314736
17.808532,0.00293018,6.2943e-05,0.00293113,1.23,-0.00708869,4.86376e-05,0.00708774,179.61,1.5771464
19.029096,0.00293256,6.2943e-05,0.00293304,1.236,-0.00711158,4.86376e-05,0.00711063,179.604,1.58183456
19.917988,0.00293733,6.2943e-05,0.00293781,1.23,-0.00712779,4.95913e-05,0.00712684,179.598,1.58190336
21.017984,0.00293972,6.2943e-05,0.00294019,1.23,-0.00714019,4.95913e-05,0.00713924,179.598,1.58190384
