t_s,Vxx_X_V,Vxx_Y_V,Vxx_R_V,Vxx_theta_deg,Vxy_X_V,Vxy_Y_V,Vxy_R_V,Vxy_theta_deg,VB_V
0.949866,0.00244047,-3.33787e-06,0.00244047,-0.072,0.00666335,1.71663e-05,0.00666335,0.156,-1.48088448
1.869462,0.00244714,-9.53682e-07,0.00244714,-0.018,0.00666335,0.0,0.00666335,0.006,-1.48088672
2.581781,0.0024481,-4.76841e-07,0.0024481,-0.006,0.00666526,-2.86104e-06,0.00666526,-0.018,-1.48088496
3.597273,0.0024481,-4.76841e-07,0.0024481,-0.006,0.00666335,-2.86104e-06,0.00666335,-0.018,-1.48088496
4.602629,0.0024481,-4.76841e-07,0.0024481,-0.006,0.00666526,-2.86104e-06,0.00666526,-0.018,-1.48088672
5.612092,0.0024481,-9.53682e-07,0.0024481,-0.018,0.00666621,-2.86104e-06,0.00666621,-0.024,-1.48088736
6.621168,0.0024481,-4.76841e-07,0.0024481,-0.006,0.00666431,-2.86104e-06,0.00666431,-0.018,-1.48088752
7.630485,0.0024481,-4.76841e-07,0.0024481,-0.006,0.00666717,-1.90736e-06,0.00666717,-0.012,-1.4808864
8.632585,0.0024481,-4.76841e-07,0.0024481,-0.006,0.00666431,-2.86104e-06,0.00666431,-0.018,-1.48088528
9.641399,0.00244762,-9.53682e-07,0.00244762,-0.018,0.00666621,-2.86104e-06,0.00666621,-0.018,-1.48088688
10.880674,0.0024481,-4.76841e-07,0.0024481,-0.006,0.00666526,-2.86104e-06,0.00666526,-0.018,-1.48088768
11.769496,0.0024481,-4.76841e-07,0.0024481,-0.006,0.00666526,-2.86104e-06,0.00666526,-0.018,-1.48088528
12.869484,0.0024481,-4.76841e-07,0.0024481,-0.006,0.00666621,-2.86104e-06,0.00666621,-0.018,-1.48088608
13.969477,0.0024481,-4.76841e-07,0.0024481,-0.006,0.00666526,-2.86104e-06,0.00666526,-0.018,-1.4808376
14.682837,0.0024481,-4.76841e-07,0.0024481,-0.006,0.00666431,-2.86104e-06,0.00666431,-0.018,-1.47943584
15.693515,0.00244762,-4.76841e-07,0.00244762,-0.006,0.00666335,-1.90736e-06,0.00666335,-0.012,-1.47738016
16.702984,0.00244667,-4.76841e-07,0.00244667,-0.006,0.00665477,-1.90736e-06,0.00665477,-0.012,-1.47540736
17.710514,0.00244571,-4.76841e-07,0.00244571,-0.006,0.00664428,-2.86104e-06,0.00664428,-0.018,-1.47338144
18.710303,0.00244428,0.0,0.00244428,0.0,0.00663474,-2.86104e-06,0.00663474,-0.018,-1.47137264
19.725218,0.00244285,0.0,0.00244285,0.006,0.00662425,-1.90736e-06,0.00662425,-0.012,-1.4694344
20.736700,0.00244142,0.0,0.00244142,0.006,0.00661281,1.90736e-06,0.00661281,0.018,-1.46737424
21.880361,0.00244047,0.0,0.00244047,0.006,0.00660422,1.90736e-06,0.00660422,0.018,-1.46508992
22.769231,0.00243904,4.76841e-07,0.00243904,0.018,0.00659373,0.0,0.00659373,0.006,-1.46338928
23.869475,0.00243713,9.53682e-07,0.00243713,0.024,0.00658324,0.0,0.00658324,0.0,-1.46114608
24.969516,0.00243618,9.53682e-07,0.00243618,0.024,0.00657466,-9.53682e-07,0.00657466,-0.006,-1.45901152
26.590087,0.00243284,9.53682e-07,0.00243284,0.03,0.00655559,0.0,0.00655559,0.0,-1.45578928
27.593643,0.00243141,9.53682e-07,0.00243141,0.03,0.00654605,0.0,0.00654605,0.006,-1.45374288
28.606421,0.00242855,1.43052e-06,0.00242855,0.042,0.00653461,0.0,0.00653461,0.006,-1.45178048
29.616057,0.00242712,1.43052e-06,0.00242712,0.042,0.00652507,0.0,0.00652507,0.006,-1.4497304
30.627042,0.00242616,1.90736e-06,0.00242616,0.048,0.00651649,2.86104e-06,0.00651649,0.03,-1.4477
31.635929,0.00242378,1.90736e-06,0.00242378,0.048,0.00650504,2.86104e-06,0.00650504,0.03,-1.44577424
32.880633,0.00242092,1.90736e-06,0.00242092,0.054,0.00649455,1.90736e-06,0.00649455,0.018,-1.44322288
33.769228,0.00241806,2.3842e-06,0.00241806,0.06,0.00648311,9.53682e-07,0.00648311,0.012,-1.44146976
34.869558,0.00241567,2.3842e-06,0.00241567,0.06,0.00647357,1.90736e-06,0.00647357,0.018,-1.43930448
35.969619,0.00241376,2.86104e-06,0.00241376,0.072,0.00646403,1.90736e-06,0.00646403,0.018,-1.43711616
36.679232,0.00241043,2.86104e-06,0.00241043,0.072,0.00645259,1.90736e-06,0.00645259,0.024,-1.43570112
37.678444,0.00240995,2.86104e-06,0.00240995,0.078,0.00644401,1.90736e-06,0.00644401,0.018,-1.43380448
38.687913,0.00240566,2.86104e-06,0.00240566,0.078,0.00643256,1.90736e-06,0.00643256,0.024,-1.43173296
39.697362,0.00240184,3.33787e-06,0.00240184,0.09,0.00642207,1.90736e-06,0.00642207,0.024,-1.42971888
40.708856,0.00239946,3.33787e-06,0.00239946,0.09,0.00641158,1.90736e-06,0.00641158,0.024,-1.4277464
41.718257,0.00239612,3.81473e-06,0.00239612,0.096,0.00640205,2.86104e-06,0.00640205,0.03,-1.42568864
42.719697,0.00239326,4.29156e-06,0.00239326,0.102,0.00639156,2.86104e-06,0.00639156,0.03,-1.42372944
43.880768,0.0023904,4.29156e-06,0.0023904,0.102,0.00638202,2.86104e-06,0.00638202,0.03,-1.4214232
