t_s,Vxx_X_V,Vxx_Y_V,Vxx_R_V,Vxx_theta_deg,Vxy_X_V,Vxy_Y_V,Vxy_R_V,Vxy_theta_deg,VB_V
1.000289,0.00284149,6.53272e-05,0.00284196,1.326,-0.00664237,5.3406e-05,0.00664142,179.532,1.48007696
1.571787,0.00283529,6.19893e-05,0.00283577,1.26,-0.0066357,3.81472e-05,0.00663474,179.664,1.48007536
2.662385,0.00283577,6.15125e-05,0.00283672,1.248,-0.0066357,3.62399e-05,0.00663474,179.682,1.48007632
3.586797,0.00283672,6.15125e-05,0.00283767,1.242,-0.0066357,3.62399e-05,0.00663474,179.682,1.4800736
4.651133,0.00283481,6.15125e-05,0.00283577,1.248,-0.00663379,3.62399e-05,0.00663283,179.682,1.48007568
5.751203,0.00283577,6.15125e-05,0.00283624,1.248,-0.00663474,3.62399e-05,0.00663379,179.682,1.48233952
6.851216,0.00283672,6.15125e-05,0.00283767,1.242,-0.00663856,3.62399e-05,0.0066376,179.682,1.48673168
7.616248,0.00284006,6.15125e-05,0.00284053,1.242,-0.00665095,3.62399e-05,0.00665,179.682,1.48978256
8.630029,0.00284721,6.15125e-05,0.00284769,1.242,-0.00667194,3.71935e-05,0.00667098,179.676,1.4937664
9.636989,0.0028515,6.19893e-05,0.00285245,1.248,-0.00669101,3.71935e-05,0.00669006,179.676,1.49779648
10.650115,0.00285579,6.19893e-05,0.00285627,1.242,-0.00671008,3.81472e-05,0.00670913,179.67,1.50181152
11.659073,0.00286104,6.19893e-05,0.00286199,1.242,-0.00673106,3.91009e-05,0.00673011,179.664,1.5057424
12.657125,0.00286533,6.19893e-05,0.00286581,1.242,-0.00674918,4.00546e-05,0.00674823,179.658,1.50973072
13.668141,0.00286867,6.19893e-05,0.00286914,1.236,-0.00676826,3.91009e-05,0.0067673,179.664,1.51375008
15.650923,0.0028782,6.19893e-05,0.00287916,1.236,-0.00680736,4.00546e-05,0.0068064,179.658,1.521648
16.751239,0.00288202,6.19893e-05,0.0028825,1.23,-0.00682643,4.19619e-05,0.00682548,179.646,1.5260064
17.528047,0.00288583,6.19893e-05,0.00288679,1.236,-0.0068455,4.19619e-05,0.00684455,179.652,1.5290528
18.535249,0.00289012,6.19893e-05,0.00289108,1.236,-0.00686744,4.29156e-05,0.00686648,179.64,1.53309376
19.548527,0.00289442,6.19893e-05,0.00289489,1.236,-0.00688842,4.38693e-05,0.00688747,179.634,1.53712672
20.556441,0.00289823,6.19893e-05,0.00289871,1.23,-0.00690845,4.38693e-05,0.00690749,179.634,1.54107936
21.569040,0.00290205,6.19893e-05,0.00290252,1.23,-0.00692847,4.38693e-05,0.00692752,179.628,1.54514352
22.579081,0.00290538,6.19893e-05,0.00290634,1.23,-0.0069485,4.48229e-05,0.00694755,179.628,1.5491472
23.586457,0.0029092,6.19893e-05,0.00291015,1.23,-0.00696757,4.57766e-05,0.00696662,179.622,1.55310416
24.662094,0.00291301,6.24661e-05,0.00291349,1.23,-0.0069876,4.57766e-05,0.00698665,179.616,1.5574208
25.607275,0.00291635,6.24661e-05,0.0029173,1.23,-0.00700763,4.57766e-05,0.00700668,179.622,1.56118544
26.651273,0.00292017,6.24661e-05,0.00292112,1.23,-0.00703052,4.57766e-05,0.00702956,179.622,1.56533456
27.751148,0.00292255,6.24661e-05,0.00292303,1.23,-0.00705341,4.76839e-05,0.00705245,179.61,1.569704
28.851241,0.00292636,6.2943e-05,0.00292684,1.236,-0.00707343,4.86376e-05,0.00707248,179.604,1.57407392
30.162500,0.0029297,6.2943e-05,0.00293066,1.23,-0.00709251,4.86376e-05,0.00709155,179.604,1.57923808
30.647786,0.00293447,6.2943e-05,0.00293495,1.23,-0.00711158,4.86376e-05,0.00711063,179.604,1.5811856
31.654596,0.00293733,6.2943e-05,0.00293781,1.23,-0.00713351,4.95913e-05,0.00713256,179.598,1.585172
