t_s,Vxx_X_V,Vxx_Y_V,Vxx_R_V,Vxx_theta_deg,Vxy_X_V,Vxy_Y_V,Vxy_R_V,Vxy_theta_deg,VB_V
1.161615,5.769770000e-04,7.629450000e-06,5.769770000e-04,0.762000,9.536820000e-07,9.536820000e-07,1.430520000e-06,36.870000,-4.186521600e-04
1.992873,5.755460000e-04,7.152590000e-06,5.755460000e-04,0.732000,2.384200000e-06,0.000000000e+00,2.384200000e-06,7.122000,-4.187896640e-04
2.986197,5.755460000e-04,7.152590000e-06,5.755460000e-04,0.732000,2.861040000e-06,0.000000000e+00,2.861040000e-06,6.342000,-4.189958720e-04
3.724894,5.755460000e-04,7.152590000e-06,5.755460000e-04,0.732000,2.861040000e-06,0.000000000e+00,2.861040000e-06,5.712000,1.911185280e-03
4.731557,5.755460000e-04,7.152590000e-06,5.755460000e-04,0.732000,1.049050000e-05,0.000000000e+00,1.049050000e-05,1.788000,5.941636480e-03
5.741371,5.760230000e-04,7.152590000e-06,5.760230000e-04,0.732000,2.479560000e-05,4.768410000e-07,2.479560000e-05,1.530000,9.976156160e-03
6.749164,5.755460000e-04,7.152590000e-06,5.755460000e-04,0.732000,4.100820000e-05,9.536820000e-07,4.100820000e-05,1.848000,1.397861280e-02
13.986409,5.631480000e-04,7.152590000e-06,5.631480000e-04,0.744000,1.630790000e-04,3.814730000e-06,1.630790000e-04,1.404000,4.274077120e-02
14.719100,5.612410000e-04,7.152590000e-06,5.612410000e-04,0.750000,1.811990000e-04,4.291560000e-06,1.811990000e-04,1.368000,4.562889920e-02
15.721629,5.588570000e-04,7.152590000e-06,5.588570000e-04,0.750000,1.993190000e-04,4.291560000e-06,1.993190000e-04,1.338000,4.961464000e-02
16.721510,5.574260000e-04,7.152590000e-06,5.574260000e-04,0.756000,2.169620000e-04,4.768400000e-06,2.169620000e-04,1.320000,5.357136960e-02
17.721729,5.555190000e-04,6.675750000e-06,5.555190000e-04,0.720000,2.346050000e-04,5.245240000e-06,2.346050000e-04,1.386000,5.758023040e-02
18.732245,5.540890000e-04,7.152590000e-06,5.540890000e-04,0.756000,2.522490000e-04,5.722080000e-06,2.522490000e-04,1.362000,6.160926080e-02
19.740089,5.531350000e-04,7.152590000e-06,5.531350000e-04,0.762000,2.703690000e-04,6.198910000e-06,2.703690000e-04,1.338000,6.557020160e-02
